timestamp,symbol,direction,entry_price,exit_price,leverage,size_usd,pnl_usd,pnl_percent,status,thesis
2026-06-21T10:00:00Z,BTCUSDT,LONG,107494.34,0.00,10,2000,0.00,0.00,OPEN,BTC showing strength above 107k support with bullish momentum
2026-06-21T10:05:00Z,ETHUSDT,SHORT,1728.26,0.00,5,1000,0.00,0.00,OPEN,ETH facing resistance at 1728 level with bearish divergence
2026-06-21T10:10:00Z,SOLUSDT,LONG,74.30,0.00,10,2000,0.00,0.00,OPEN,SOL breaking out with strong volume and bullish trend
2026-06-21T10:15:00Z,DOGEUSDT,LONG,0.08,0.00,20,4000,0.00,0.00,OPEN,DOGE momentum play with high leverage for aggressive gains
2026-06-20T08:00:00Z,BTCUSDT,LONG,105000.00,107494.34,10,2000,475.13,23.76,CLOSED,BTC bullish breakout above 105k resistance
2026-06-19T14:00:00Z,ETHUSDT,LONG,1680.00,1728.26,5,1000,28.73,14.37,CLOSED,ETH recovery play from 1680 support
2026-06-18T09:00:00Z,SOLUSDT,SHORT,78.50,74.30,10,2000,53.50,53.50,CLOSED,SOL rejection at 78.50 resistance level
2026-06-17T16:00:00Z,BTCUSDT,SHORT,108000.00,105000.00,10,2000,555.56,27.78,CLOSED,BTC breakdown below 108k support
2026-06-16T11:00:00Z,DOGEUSDT,LONG,0.075,0.08,20,4000,1066.67,266.67,CLOSED,DOGE breakout with high volume
2026-06-15T13:00:00Z,ETHUSDT,SHORT,1750.00,1680.00,5,1000,200.00,200.00,CLOSED,ETH bearish reversal at 1750 resistance
